IDN,MAY_21,JUN,JUL,AUG,SEP,NOV,DECE,JAN,FEB,MAR,APR,MAY
E1797053950,562470.87892644,518939.58619999,709547.00885838,857337.06360000,456727.23780833,133988.43546000,266816.50380000,268151.37888000,270011.03052000,275796.77400000,284067.83460000,280071.78540000
Q2759348990,233494.96795045,194491.79378533,335959.35678156,592875.22976515,517082.44046666,514203.56430300,458659.87094447,581180.68046640,760322.31232650,757135.11098951,852223.64836416,1012067.50910604
P1752045410,17196.36750240,17328.73611770,17388.46334390,17267.54773200,17325.77649250,17291.40504690,17216.53150350,17302.66530160,17422.66069390,35007.02231306,36727.68633450,40568.93508969
S1775414370,356072.31409378,462465.79528671,600748.65813380,451508.03897728,321036.10255500,320399.22056940,319011.85934100,320607.86624160,322831.30789140,329748.87393000,339637.94144700,334860.17445300
A1726442230,101381.00000000,101381.00000000,101381.00000000,101381.00000000,101381.00000000,101381.00000000,101381.00000000,101381.00000000,274559.00000000,332285.00000000,332285.00000000,332285.00000000
M2779252430,101136.55641600,101915.05256800,102266.32477600,101555.18688000,101897.64620000,101695.49829600,101255.14644000,101761.72294400,102467.44877600,104663.10120000,107801.91548000,110173.11997716
A1712050450,21043.74946560,21205.73320880,21278.82334160,21130.85500800,21202.11142000,3618.31811674,882034.91259551,723785.84698560,438959.02829240,448364.95638000,461811.28380200,455314.87559800
J2221441080,587713.80000000,592237.71250000,594278.98750000,590146.50000000,592136.56250000,590961.86250000,588402.93750000,591346.70000000,595447.73750000,608206.87500000,626446.81250000,617634.43750000
Y2721208650,568455.70635664,500880.72059800,428812.52014727,788846.74368000,797261.02732500,1044550.81619100,887721.43509000,892162.67918400,1054235.89998600,1099387.88828064,1434322.09502997,1696874.05726031
G2791149210,15653.92992000,15774.42566000,15828.79562000,15718.72560000,15771.73150000,15740.44302000,15672.28530000,15750.69328000,15859.92562000,16199.76900000,16685.59510000,16450.87490000
C1226887220,3377656.33316129,2666694.93640000,2677800.03700000,2658939.28740000,2665805.04520000,2696388.87540000,2687650.63820000,2702302.94400000,2743485.13120000,2785822.94100000,2752705.39280000,2691389.41720000
S2792348740,496738.46947200,500562.10160600,86140.00625645,325055.82770322,364965.11187500,627754.45281000,625036.21215000,628163.24984000,632519.61311000,609806.90917741,375956.52705000,370667.85795000
T1776425420,124555.17816774,134305.57819000,134768.49133000,133831.34040000,134282.63975000,134016.24543000,133435.94145000,134103.51752000,135033.53633000,137927.00850000,142063.39715000,140064.95785000
A2750855330,269096.86332000,271168.22979750,272102.86958250,270210.72510000,271121.91618750,270584.05560750,269412.39911250,270760.26138000,272638.00583250,278480.03962500,286831.57053750,282796.64321250
A2788275760,48065.39806451,60059.87155000,60266.88085000,141836.72806451,187560.99775000,269219.97657900,276997.95133500,278383.76389600,280314.37795900,286320.89955000,294907.57544500,290759.04105500
N1274667680,214342.68000000,215992.57750000,216737.04250000,215229.90000000,215955.68750000,215527.26750000,214594.01250000,215667.62000000,217163.29250000,221816.62500000,228468.83750000,225254.91250000
D1726567580,1375373.36618400,1385960.26879450,1390737.27976150,1381066.39362000,1385723.55661250,1382974.51261650,1376986.09224750,1383875.11295600,1393472.39951150,1423331.45317500,1466016.72658250,1445393.92366750
H2793436660,58404.92316000,132378.02326837,1211711.01218246,1308573.29028192,1476482.43137324,559757.40756180,347803.98042566,339182.71060018,349880.53538361,408285.05474208,431499.99315450,559535.21500507
F1790326950,140304.56976000,141384.56073000,141871.87311000,140885.32680000,141360.41325000,141079.97781000,140469.08715000,141171.84984000,142150.88811000,145196.86950000,149551.27905000,147447.50595000
Q2777977910,9907.61009760,9983.87368230,10018.28525610,9948.62026800,9982.16850750,9962.36555310,9919.22749650,9968.85309840,64003.41635572,83748.79872000,86260.39948800,85046.95411200
A2739461300,47370.00000000,47370.00000000,47370.00000000,47370.00000000,47370.00000000,47370.00000000,47370.00000000,47370.00000000,47370.00000000,47370.00000000,47370.00000000,47370.00000000
D1797986250,36301.00000000,36301.00000000,36301.00000000,36301.00000000,36301.00000000,36301.00000000,36301.00000000,36301.00000000,36301.00000000,36301.00000000,36301.00000000,36301.00000000
P2791576660,1178958.03136800,1188033.03177650,1192127.84383550,1183838.04474000,1151281.50495750,820712.53915650,817158.77034750,821246.99151600,826942.40625150,844661.96617500,869993.11928250,857754.72096750
J2778530950,184759.24159200,186181.42130350,186823.13572450,185524.00806000,186149.62283750,185780.33308950,184975.88534250,185901.31422800,187190.55497450,191201.63752500,196935.71594750,194165.37480250
G2799104070,166219.29120000,167498.76009999,168076.08070000,166907.31600000,167470.15250000,167137.91970000,166414.19550000,167246.76080000,168406.63070000,172015.21500000,177173.89850000,174681.55150000
T2725292090,1058437.98240000,1373266.87273999,1943560.67318387,1192396.04245160,1032686.16500000,1030637.48820000,989946.07306451,655073.00320000,659615.98780000,673750.11000000,693955.66900000,684193.63100000
F1734120830,8786.66702400,1721.66986775,1480.80340650,1470.50622000,1475.46498750,1472.53791150,1466.16167250,1796.07748116,4769.42994221,10096.15358628,15027.62472416,20313.19324088
A2779086830,780397.26147623,621681.80208478,60127.05050000,32743.61225806,114795.54158333,234784.93012580,341027.26675500,385561.68763070,531851.41448857,811167.54987741,1049897.43212283,1598174.15297891
N2730726810,2564.00000000,2564.00000000,2564.00000000,2564.00000000,2564.00000000,2564.00000000,2564.00000000,2564.00000000,2564.00000000,2564.00000000,2564.00000000,2564.00000000
F1740078880,4646.39616000,14953.65386550,49734.94910112,76760.70240000,77019.55100000,76866.75708000,76533.91620000,76916.81312000,77450.23748000,79109.82600000,81482.30540000,80336.07460000
F2711046270,63190.98777600,63677.39884800,63896.87673600,68867.47616515,74895.10434000,74746.52496720,74422.86490800,44029.91134080,11291.37036720,11533.31964000,11879.20035600,11712.09284400
H2757304840,733532.52144247,748043.33120440,743693.25556112,692080.49150400,710464.67471000,753106.22398680,715224.32778909,690148.62835520,668390.50565980,656177.46920516,754099.67284066,802645.40577922
A2701943870,47724.57312960,48091.93185580,48257.69107060,47922.11752800,48083.71809500,32275.69498260,32135.93793900,32296.71308640,32520.69342060,33217.54047000,34213.72431300,33732.43178700
E1724243920,1244570.40000000,1608656.97720000,2444234.51800000,2427237.83999998,2435422.85000000,2430591.37800000,2420066.67000000,2432174.19200000,2453327.23228571,2534744.90645161,2639872.22333333,2634165.07774193
L2794785990,72850.00000000,72850.00000000,72850.00000000,72850.00000000,72850.00000000,72850.00000000,72850.00000000,72850.00000000,72850.00000000,73817.74193548,88183.33333332,103172.58064515
F2756771630,61108.40664000,61578.78709500,61791.03166500,61361.35020000,61568.26987500,61446.12871500,61180.06072500,61486.14276000,61912.55416500,63239.20425000,65135.72857500,64219.44892500
A2791557790,362417.24105280,365206.93883940,366465.70331580,363917.38010400,365144.56408500,403284.61135680,401538.34795200,429669.72043520,447116.52219080,456697.24746000,470393.45773400,463776.32206600
C1721049920,434054.00000000,434054.00000000,434054.00000000,440502.38709677,633954.00000000,633954.00000000,633954.00000000,633954.00000000,633954.00000000,633954.00000000,633954.00000000,633954.00000000
B1295489810,17500.71180387,65288.28542600,240574.59886296,155264.38625032,104494.68750000,107272.32428000,253911.11911402,282061.55885600,261316.09249900,162991.77932419,116908.24114500,115263.66535500
Q2771818440,267518.24844030,270538.92497170,246750.74303882,275119.91083200,276047.65643000,275500.02400440,274307.08086600,275679.43108160,277591.29037640,287575.09368000,296199.38247200,292032.67592799
A1237137380,142144.32138240,143238.47379520,143732.17608640,142732.69363200,143214.00968000,142929.89701440,142310.99601600,143022.97372160,144014.84968640,147100.77168000,151512.27867200,149380.91972800
A1772060930,351201.17260800,353904.53498400,355124.34328800,352654.88544000,353844.09060000,353142.12304800,351612.98172000,353372.09107200,355822.75528800,363447.25560000,374346.92724000,369080.90076000
A1791341790,819895.32240000,826206.44645000,829054.14515000,823289.08200000,826065.33625000,824426.56065000,820856.70975000,824963.43160000,830684.62015000,848484.36750000,873930.15325000,861636.37175000
N1775339650,2104845.11760000,2121047.11105000,2128357.75735000,2113557.61800000,2120684.85125000,2116477.76685000,2107313.20275000,2117856.02840000,2132543.53235000,2019927.27808064,2013798.03335000,1985469.46165000
L1758857450,46770.48387096,96659.00000000,96659.00000000,96659.00000000,96659.00000000,282928.33333333,333141.00000000,333141.00000000,333141.00000000,333141.00000000,333141.00000000,333141.00000000
E1724303410,1382497.34960516,1266480.14242400,1270845.33936800,1262008.15584000,1266263.83660000,1263751.78072800,1258279.60692000,1264574.74259200,1273344.67136800,1492854.50775000,1537624.75622500,1515994.62627500
Q2757231630,160534.64675520,161770.35824460,162327.93467220,161199.14133600,161742.72901500,300655.25426820,299353.38642300,300851.04256480,302937.46903420,309428.75379000,318708.42714100,314225.08055900
Y1721220690,480252.61338240,483949.34604520,521655.18134343,564658.70200529,707165.15045750,705762.25295910,702706.23058650,706221.84908240,711119.55509210,726357.28564500,748140.51769550,737616.24865450
F2754245070,286713.61904640,288920.59006720,289916.41719040,287900.40115200,288871.24448000,288298.17219840,287049.81177600,288485.91349760,290486.58679040,286033.00419096,135135.63240000,176341.07780645
R2799278540,273871.86508800,275979.98702400,276931.21156800,275005.49184000,275932.85160000,275385.44692800,274192.99992000,275564.77939200,277475.84356800,283421.54160000,291921.26664000,287814.74136000
F2700617900,1656.00000000,1656.00000000,1656.00000000,1656.00000000,1656.00000000,1656.00000000,1656.00000000,1656.00000000,1656.00000000,1656.00000000,1656.00000000,1656.00000000
A1595846150,56686.03315200,57122.37249600,57319.25707200,56920.67136000,57112.61640000,56999.31451200,56752.50168000,57036.43276800,57431.98507200,58662.62640000,60421.90056000,59571.93144000
B2778012950,33993.36619200,34255.02929100,34373.09663700,34134.07356000,34249.17877500,34181.23412700,12295.87516567,3420.34931280,3444.06971370,3517.86856500,3623.36836350,3572.39758650
H1738900380,43280.07394560,43613.22124880,43763.54362160,43459.22140800,43605.77242000,7657.01174000,16336.83450000,16418.56720000,16532.43130000,16886.68500000,17393.11150000,17148.43850000
R2773547700,67100.00000000,67100.00000000,67100.00000000,89721.25806451,122966.60000000,284838.50000000,305934.00000000,305934.00000000,307219.71428571,310385.61290322,313400.66666666,318385.61290322
J2796834080,34011.12027870,212492.10424400,213224.50410800,211741.78704000,212455.81210000,212034.33526800,211116.20502000,212172.41315200,213643.84610800,218221.76460000,224766.16834000,221604.32966000
B1750561590,92927.92320000,93643.23360000,93965.99520000,93312.57600000,93627.24000000,93441.49920000,93036.88800000,93502.34880000,94150.79520000,96168.24000000,103052.29600000,106368.58141935
A2770894980,9126.84960000,9197.10330000,9228.80310000,9164.62800000,9195.53250000,9177.29010000,9137.55150000,9183.26640000,9246.95310000,9445.09500000,9728.35050000,9591.49950000
K1797673880,260603.08519680,262609.07102640,263514.20982480,261681.78902400,262564.21926000,262043.33572080,260908.66141200,262213.97973120,264032.45502480,269690.09076000,277778.01380400,273870.44499600
E1738215830,361316.00000000,361316.00000000,361316.00000000,361316.00000000,361316.00000000,361316.00000000,361316.00000000,361316.00000000,361316.00000000,361316.00000000,361316.00000000,361316.00000000
H1723731060,272743.45459200,274842.89061600,275790.19591200,273872.41056000,274795.94940000,274250.80015200,273063.26628000,274429.39372800,276332.58391200,282253.78440000,290718.48876000,286628.88324000
T1775226490,812549.59132800,831377.91260556,1001464.24499496,1008867.24468000,948327.65022333,1051239.20667590,1277411.25488685,1404373.66268640,1529722.87089655,1814929.49589290,1900032.93381200,1987138.38256299
S2754982910,7396.06703040,7452.99807420,7478.68643940,7426.68127200,7451.72515500,7436.94217740,7404.73946100,7441.78515360,7493.39453940,7653.96153000,7883.50148700,7772.60241300
B2778653140,270557.98896960,272640.60242580,273580.31706060,185353.01563122,250650.98892750,298191.84712560,296900.64608400,298386.03123840,300455.36265360,306893.46132000,316097.10202800,311650.48957200
S2792397750,16691.07192000,16819.55103500,16877.52324500,16760.16060000,16816.67837500,16783.31689500,16710.64342500,16794.24628000,16910.71574500,17273.07525000,17791.08947500,17540.81802500
N1752533700,5237150.63903267,5607107.14806182,6079363.56271558,6183376.75313961,5939123.06639883,5697493.11208440,4898790.96206600,4903635.42820160,4910384.38885640,4931381.73818000,4961398.68402200,4946896.40937800
F2714690450,264695.23267200,266732.71770600,267652.06954200,265790.87496000,266687.16165000,266158.09888200,265005.60723000,266331.42244800,347037.74954200,386693.63790000,398290.46141000,392687.61559000
D2228996330,2614073.54000000,2593423.18000000,2604223.15000000,2585880.63000000,2592557.74000000,2622301.23000000,2613803.09000000,2628052.80000000,2668103.44000000,2709277.95000000,2677070.36000000,2617439.14000000
R2759648170,16656.50052000,16784.71352250,24826.37344897,57688.27838400,57882.81191000,57767.98208280,57517.84084200,57805.60089920,79264.32155180,88132.46766000,90775.53331400,89498.57248600
R2779636730,11699.00000000,11699.00000000,11699.00000000,97622.51612903,151890.00000000,151890.00000000,151890.00000000,151890.00000000,151890.00000000,151890.00000000,151890.00000000,151890.00000000
N2758444370,1947871.60161600,1962865.29529300,1969630.73385100,999397.48742322,1758902.87976666,1677395.42051000,1387196.61381000,1236036.41817600,1309195.52885275,1186039.59859838,1409787.84335416,1148287.74766575
B1776830140,22692.66696000,22867.34320500,22946.16043500,22786.59780000,22863.43762500,22818.08038500,22719.27577500,22832.93964000,22991.28793500,23483.94075000,24188.21692500,23847.95557500
A2718310470,7236.99999999,7237.00000000,7237.00000000,7237.00000000,7237.00000000,7237.00000000,7237.00000000,7237.00000000,15882.48083245,19011.31267000,19364.42069300,19193.82140700
P1752591730,160182.57161760,138065.92999924,198098.74842385,230248.28855806,238247.60884750,237774.96540030,236745.37560450,237929.80571920,239579.86828930,244713.53878500,407588.03268856,676984.60184550
G2227045360,2319174.41512257,2748763.34628000,4248799.31262741,5059568.94600000,3329493.32887499,6827579.31986007,11743987.32204158,12174908.60155920,13015822.76187930,13951302.45130112,14518717.73741816,15311788.35374900
E1792632740,148131.53472000,149271.77356000,149786.27092000,148744.68960000,149246.27900000,148950.19932000,148305.22980000,149047.19648000,150080.85092000,153296.75400000,157894.07660000,155672.94340000
F1527410360,16140.00000000,16140.00000000,16140.00000000,16140.00000000,16140.00000000,22584.76666666,33907.00000000,33907.00000000,33907.00000000,33907.00000000,35706.10000000,39904.00000000
J2772795510,119283.77570400,120201.95962950,120616.26160650,119777.52222000,182920.37474550,328657.94736030,327234.82500450,328871.97115920,331152.72504930,300091.52491403,290376.22770150,286291.43684850
M2771301890,232167.14069760,233954.24154480,234760.61529360,233128.14076800,233914.28382000,233450.23696560,232439.37368400,233602.26099840,235222.31169360,240262.60932000,247468.01122800,248502.94940425
S2778938280,156842.97437760,158050.26930980,158595.02364860,2028861.63660089,2621923.34102916,7062185.58384120,7054865.01601800,7063286.52623680,7075018.76659720,7111520.08314000,7163700.86200600,7138490.43619400
N2722149010,1440668.50764960,930464.08483854,896307.50960740,890074.78111200,893076.24675500,891304.53270540,887445.09338100,891884.95494560,898070.24970740,1007932.84205516,1306503.02702350,1288124.14092650
A2713253180,807.58790400,813.80429200,816.60924400,810.93072000,813.66530000,812.05112400,808.53486000,812.57993600,818.21524400,2395.65648096,2578.30768100,3025.90898674
O1229481720,347912.74104000,350590.79079500,351799.17756500,401746.78755290,573172.86661250,572035.78741650,569558.81424750,572408.30015600,576377.99831150,588728.51317500,606384.30058250,597854.14966750
N1777751420,71067.73555200,71614.77769600,71861.61347200,101963.83253612,261974.31191750,203157.92123343,168673.66278000,169517.53212800,170693.15001200,174350.72940000,179579.45426000,111009.74625612
A2755750900,204475.33331612,212926.87640000,213660.77480000,245754.02390322,750605.31040833,782280.55111500,649765.65993386,832646.85425600,1041212.52327400,1063523.42130000,1095418.16227000,1080008.65673000
F2522567170,106524.16339200,107344.13051600,107714.11521200,106965.09456000,107325.79690000,107112.88045200,106649.07078000,107182.63292800,107925.95321200,110238.56940000,113544.59026000,111947.33174000
L2778155550,194279.00000000,194279.00000000,194279.00000000,194279.00000000,194279.00000000,194279.00000000,242637.70967741,287974.00000000,287974.00000000,287974.00000000,287974.00000000,287974.00000000
A2921048190,119473.00000000,119473.00000000,119473.00000000,119473.00000000,119473.00000000,119473.00000000,119473.00000000,119473.00000000,119473.00000000,119473.00000000,119473.00000000,119473.00000000
T2752926090,974775.19440000,982278.50245000,985664.13715000,978810.04200000,982110.73625000,980162.39265000,975918.18975000,980800.67960000,987602.61215000,1008764.76750000,1039017.31325000,1024401.21175000
A2709070730,62558.00000000,62558.00000000,62558.00000000,62558.00000000,62558.00000000,62558.00000000,62558.00000000,62558.00000000,62558.00000000,62558.00000000,62558.00000000,62558.00000000
X2723938090,46495.72267974,45929.77648000,46088.08336000,45767.59680000,45921.93200000,45830.83056000,45632.37840000,45860.67584000,46178.72336000,47168.23200000,48582.79280000,47899.36720000
F2702348290,185061.87178560,185641.36000380,191873.30696982,194517.21088800,195130.81273500,195466.74844860,194679.56376900,195677.84939040,197487.22182660,201387.39237000,205075.46940300,201735.23969700
H2775452320,122850.16132800,123795.79741900,124222.48633300,120885.60906000,108389.97079750,108174.94320630,107706.53469450,125750.14730320,199904.43497530,135202.72180258,124693.98744940,256297.65530600
S2756842830,29602.79839200,29830.66520350,29933.48302450,29725.33206000,29825.57033750,8769.87403950,8731.89959250,8775.58502800,8836.44442450,9025.79002500,9296.47069750,9165.69505250
A1723673010,1967632.96180041,2087972.19088243,2644753.75684630,2626362.71144400,2635219.20037250,2629991.36579730,2618603.23555950,2631704.03012720,2649955.11179630,2784217.14304596,2787912.06768650,2463329.63030340
N2756041560,279022.45054560,281170.21898630,282139.33278410,280177.39690800,281122.19710750,280564.49764110,279349.62481650,290905.34961040,360720.87835410,464373.24754500,422228.98400550,333366.51639450
S2778614540,55879.55153280,56309.68300440,56503.76647080,56110.85150400,56300.06571000,56188.37578680,55945.07440200,76708.67703520,120554.76925030,123137.99323500,126830.86385650,125046.70419350
W1229597460,158992.00000000,158992.00000000,158992.00000000,158992.00000000,158992.00000000,158992.00000000,158992.00000000,158992.00000000,158992.00000000,158992.00000000,158992.00000000,158992.00000000
F2273700890,570236.28449032,873724.81350000,920749.47589225,1209369.86520000,1033475.68041666,1236236.59641000,1768569.07337418,1971675.12416000,2192304.46864000,2365901.20025806,2608981.46492500,3031614.21835645
L2723364030,401106.68364800,403308.05140400,455101.44574361,544458.82736000,545906.61890000,545052.01221200,543190.36718000,545331.98556800,548315.53377200,557597.94140000,570867.68906000,564456.59294000
F1788352220,234350.00000000,234350.00000000,234350.00000000,234350.00000000,234350.00000000,234350.00000000,234350.00000000,234350.00000000,234350.00000000,234350.00000000,234350.00000000,234350.00000000
U1797719250,118925.61600000,119841.04300000,120254.10100000,119417.88000000,119820.57500000,119582.87100000,129977.11470991,218785.75636400,304263.38603650,386174.15767500,397755.40213250,392160.08311750
F2771126010,781826.95614720,787845.04988560,790560.52775920,367459.62080825,641805.67399375,855917.18017950,852210.97169250,856474.55798800,862414.27876450,880893.92302500,907311.66139750,894548.29435250
D2726272020,45145.46639473,96283.63834740,96615.50067180,67492.40570475,65539.06800000,179652.40620000,178874.49300000,181295.45280000,185779.69410000,189760.54500000,195451.40550000,204515.52159677
B1773986120,266563.47112800,268615.33688150,269541.17757050,267666.84654000,268569.45928750,268036.66235550,266876.03633250,538951.49725200,561490.40382050,573521.91022500,590721.65627750,582411.83547250
J1723962900,203694.68880000,205262.62365000,205970.10555000,204537.83400000,205227.56625000,204820.42905000,203933.53575000,204953.80920000,206375.18055000,210797.34750000,217119.09525000,214064.82975000
F1788833280,106800.33942296,112780.64046666,149858.98270200,145611.51560516,99467.79640000,99270.46891200,98840.61768000,99335.11436800,100024.01147200,102167.30640000,105231.27256000,103750.95944000
A2739271230,285331.31618880,287527.64696740,288518.67301180,286512.37658400,287478.53928500,286908.22989780,285665.88806700,287095.06605920,289086.09371180,295280.57391000,304135.94768900,299857.59561100
A2784582960,45435.56281856,62191.64861490,77623.60721510,104559.79628400,104912.38759750,111628.94148030,138724.36860450,139418.40251920,162922.62709030,184324.17729000,189852.00279100,187181.30990900
A2763106350,9589.00000000,9589.00000000,9589.00000000,9589.00000000,9589.00000000,9589.00000000,9589.00000000,9589.00000000,9589.00000000,9589.00000000,9589.00000000,9589.00000000
F1780508190,776369.33806880,781555.22989490,633932.11385139,454566.68718722,497506.27634750,442493.55530030,441022.02410450,442714.85931920,445073.19518930,452410.44378500,462899.47220150,457831.84234850
N2754913940,45495.96240000,45846.16645000,46004.18515000,45684.28200000,45838.33625000,19888.76354500,45540.37763709,59412.95080000,59824.98445000,61106.90250000,23263.37507080,87256.97435945
J1795711100,275266.00000000,275266.00000000,275266.00000000,275266.00000000,275266.00000000,275266.00000000,275266.00000000,275266.00000000,275266.00000000,275266.00000000,275266.00000000,275266.00000000
