,date,item_nbr,unit_sales,onpromotion,weekday,DayFromWagePaid,DayToWagePaid,OilPrice,transactions,type,assortment_1,assortment_2,assortment_3,assortment_4,assortment_5,assortment_6,assortment_7,assortment_8,assortment_9,assortment_10,unit_sales_lag1,d1,ln_unit_sales_lag1,work,weekend,holiday,Sun,Mon,Tue,Wed,Thu,Fri,Sat
12,2014-04-12,103665.0,3.0,0,5,12,3,0.36111984005643716,-0.5652537657677071,Weekend,1,0,0,0,0,0,0,0,0,0,3.0,0,1.0986122886681098,0,1,0,0,0,0,0,0,1,0
13,2014-04-13,103665.0,2.0,0,6,13,2,0.36941397466993947,-2.5419571275249053,Weekend,1,0,0,0,0,0,0,0,0,0,3.0,0,1.0986122886681098,0,1,0,0,0,0,0,0,0,1
14,2014-04-14,103665.0,5.0,0,0,14,1,0.37770810928344084,0.6518725915286293,Work,1,0,0,0,0,0,0,0,0,0,2.0,0,0.6931471805599453,1,0,0,1,0,0,0,0,0,0
15,2014-04-15,103665.0,1.0,0,1,0,0,0.35417070024512415,0.4580339494406943,Work,1,0,0,0,0,0,0,0,0,0,5.0,0,1.6094379124341003,1,0,0,0,1,0,0,0,0,0
16,2014-04-16,103665.0,6.0,0,2,1,14,0.3548431976462183,0.7307604109830216,Work,1,0,0,0,0,0,0,0,0,0,1.0,0,0.0,1,0,0,0,0,1,0,0,0,0
17,2014-04-17,103665.0,4.0,0,3,2,13,0.3965380365140945,0.4354945724537251,Work,1,0,0,0,0,0,0,0,0,0,6.0,0,1.791759469228055,1,0,0,0,0,0,1,0,0,0
18,2014-04-18,103665.0,2.0,0,4,3,12,0.39687428521464163,-2.4427838687822407,Holiday,1,0,0,0,0,0,0,0,0,0,4.0,0,1.3862943611198906,0,0,1,0,0,0,0,1,0,0
19,2014-04-19,103665.0,2.0,0,5,4,11,0.3972105339151897,-1.2459429507741768,Weekend,1,0,0,0,0,0,0,0,0,0,2.0,0,0.6931471805599453,0,1,0,0,0,0,0,0,1,0
20,2014-04-20,103665.0,1.0,0,6,5,10,0.3975467826157367,-2.6524000747610543,Weekend,1,0,0,0,0,0,0,0,0,0,2.0,0,0.6931471805599453,0,1,0,0,0,0,0,0,0,1
21,2014-04-21,103665.0,5.0,0,0,6,9,0.39788303131628383,0.41746307086414974,Work,1,0,0,0,0,0,0,0,0,0,1.0,0,0.0,1,0,0,1,0,0,0,0,0,0
22,2014-04-22,103665.0,7.0,0,1,7,8,0.21899872262507447,0.21911655337882083,Work,1,0,0,0,0,0,0,0,0,0,5.0,0,1.6094379124341003,1,0,0,0,1,0,0,0,0,0
23,2014-04-23,103665.0,3.0,0,2,8,7,0.20420377980098955,0.7758391649569599,Work,1,0,0,0,0,0,0,0,0,0,7.0,0,1.9459101490553132,1,0,0,0,0,1,0,0,0,0
24,2014-04-24,103665.0,4.0,0,3,9,6,0.25329609008090825,0.44225638554981583,Work,1,0,0,0,0,0,0,0,0,0,3.0,0,1.0986122886681098,1,0,0,0,0,0,1,0,0,0
25,2014-04-25,103665.0,5.0,0,4,10,5,0.16250894093311333,0.606793837554691,Work,1,0,0,0,0,0,0,0,0,0,4.0,0,1.3862943611198906,1,0,0,0,0,0,0,1,0,0
26,2014-04-26,103665.0,7.0,0,5,11,4,0.16878558334333027,-0.8041711618295806,Weekend,1,0,0,0,0,0,0,0,0,0,5.0,0,1.6094379124341003,0,1,0,0,0,0,0,0,1,0
27,2014-04-27,103665.0,1.0,0,6,12,3,0.17506222575354913,-2.4472917441796347,Weekend,1,0,0,0,0,0,0,0,0,0,7.0,0,1.9459101490553132,0,1,0,0,0,0,0,0,0,1
28,2014-04-28,103665.0,1.0,0,0,13,2,0.18133886816376704,0.43098669705633125,Work,1,0,0,0,0,0,0,0,0,0,1.0,0,0.0,1,0,0,1,0,0,0,0,0,0
29,2014-04-29,103665.0,20.0,0,1,14,1,0.21025625641084272,0.37238431689021134,Work,1,0,0,0,0,0,0,0,0,0,1.0,0,0.0,1,0,0,0,1,0,0,0,0,0
30,2014-05-02,103665.0,5.0,0,4,2,13,0.1113991384499112,0.4828272641263604,Work,1,0,0,0,0,0,0,0,0,0,20.0,0,2.995732273553991,1,0,0,0,0,0,0,1,0,0
31,2014-05-03,103665.0,4.0,0,5,3,12,0.10355333543713738,-0.596808893549464,Weekend,1,0,0,0,0,0,0,0,0,0,5.0,0,1.6094379124341003,0,1,0,0,0,0,0,0,1,0
32,2014-05-05,103665.0,2.0,0,0,5,10,0.08786172941159358,-0.2947812419240768,Work,1,0,0,0,0,0,0,0,0,0,4.0,0,1.3862943611198906,1,0,0,1,0,0,0,0,0,0
33,2014-05-06,103665.0,3.0,0,1,6,9,0.09256921121925749,0.5820005228690248,Work,1,0,0,0,0,0,0,0,0,0,2.0,0,0.6931471805599453,1,0,0,0,1,0,0,0,0,0
34,2014-05-07,103665.0,4.0,0,2,7,8,0.1766313863561041,0.7239985978869308,Work,1,0,0,0,0,0,0,0,0,0,3.0,0,1.0986122886681098,1,0,0,0,0,1,0,0,0,0
35,2014-05-08,103665.0,11.0,0,3,8,7,0.14031652669698594,0.3070201236280007,Work,1,0,0,0,0,0,0,0,0,0,4.0,0,1.3862943611198906,1,0,0,0,0,0,1,0,0,0
36,2014-05-09,103665.0,12.0,0,4,9,6,0.1268665786750903,0.9178372399748659,Work,1,0,0,0,0,0,0,0,0,0,11.0,0,2.3978952727983707,1,0,0,0,0,0,0,1,0,0
37,2014-05-11,103665.0,3.0,0,6,11,4,0.1524214799166923,-2.244437351296912,Holiday,1,0,0,0,0,0,0,0,0,0,12.0,0,2.4849066497880004,0,0,1,0,0,0,0,0,0,1
38,2014-05-12,103665.0,3.0,0,0,12,3,0.16519893053749285,0.3994315692745744,Work,1,0,0,0,0,0,0,0,0,0,3.0,0,1.0986122886681098,1,0,0,1,0,0,0,0,0,0
39,2014-05-13,103665.0,1.0,0,1,13,2,0.2405186394601077,0.6383489653364478,Work,1,0,0,0,0,0,0,0,0,0,3.0,0,1.0986122886681098,1,0,0,0,1,0,0,0,0,0
40,2014-05-14,103665.0,5.0,0,2,14,1,0.282213478327983,0.6090477752533879,Work,1,0,0,0,0,0,0,0,0,0,1.0,0,0.0,1,0,0,0,0,1,0,0,0,0
41,2014-05-15,103665.0,4.0,0,3,0,0,0.22236120963054815,0.4580339494406943,Work,1,0,0,0,0,0,0,0,0,0,5.0,0,1.6094379124341003,1,0,0,0,0,0,1,0,0,0
42,2014-05-16,103665.0,7.0,0,4,1,15,0.2606935614929507,0.46479576253678506,Work,1,0,0,0,0,0,0,0,0,0,4.0,0,1.3862943611198906,1,0,0,0,0,0,0,1,0,0
43,2014-05-17,103665.0,1.0,0,5,2,14,0.2750401727163062,-0.6756967130038561,Weekend,1,0,0,0,0,0,0,0,0,0,7.0,0,1.9459101490553132,0,1,0,0,0,0,0,0,1,0
44,2014-05-18,103665.0,1.0,0,6,3,13,0.28938678393966166,-2.526179563634027,Weekend,1,0,0,0,0,0,0,0,0,0,1.0,0,0.0,0,1,0,0,0,0,0,0,0,1
45,2014-05-19,103665.0,4.0,0,0,4,12,0.3037333951630162,0.6834277193103863,Work,1,0,0,0,0,0,0,0,0,0,1.0,0,0.0,1,0,0,1,0,0,0,0,0,0
46,2014-05-20,103665.0,6.0,0,1,5,11,0.29364593414659423,0.5617150835807526,Work,1,0,0,0,0,0,0,0,0,0,4.0,0,1.3862943611198906,1,0,0,0,1,0,0,0,0,0
47,2014-05-21,103665.0,1.0,0,2,6,10,0.3951930417119053,0.7690773518608691,Work,1,0,0,0,0,0,0,0,0,0,6.0,0,1.791759469228055,1,0,0,0,0,1,0,0,0,0
48,2014-05-23,103665.0,6.0,0,4,8,8,0.44226785978853955,0.30476618592930377,Work,1,0,0,0,0,0,0,0,0,0,1.0,0,0.0,1,0,0,0,0,0,0,1,0,0
49,2014-05-24,103665.0,5.0,0,5,9,7,0.43840099973224433,-0.7681081586504298,Holiday,1,0,0,0,0,0,0,0,0,0,6.0,0,1.791759469228055,0,0,1,0,0,0,0,0,1,0
50,2014-05-25,103665.0,1.0,0,6,10,6,0.43453413967594906,-2.460815370371816,Weekend,1,0,0,0,0,0,0,0,0,0,5.0,0,1.6094379124341003,0,1,0,0,0,0,0,0,0,1
51,2014-05-26,103665.0,3.0,0,0,11,5,0.4306672796196548,0.48733513952375423,Work,1,0,0,0,0,0,0,0,0,0,1.0,0,0.0,1,0,0,1,0,0,0,0,0,0
52,2014-05-27,103665.0,2.0,0,1,12,4,0.4268004195633595,0.3385752514097576,Work,1,0,0,0,0,0,0,0,0,0,3.0,0,1.0986122886681098,1,0,0,0,1,0,0,0,0,0
53,2014-05-28,103665.0,3.0,0,2,13,3,0.33197828600899676,0.7037131585986585,Work,1,0,0,0,0,0,0,0,0,0,2.0,0,0.6931471805599453,1,0,0,0,0,1,0,0,0,0
54,2014-05-29,103665.0,7.0,0,3,14,2,0.3918305547064316,0.3633685660954237,Work,1,0,0,0,0,0,0,0,0,0,3.0,0,1.0986122886681098,1,0,0,0,0,0,1,0,0,0
55,2014-05-30,103665.0,6.0,0,4,15,1,0.33399577821228116,0.7352682863804154,Work,1,0,0,0,0,0,0,0,0,0,7.0,0,1.9459101490553132,1,0,0,0,0,0,0,1,0,0
56,2014-05-31,103665.0,3.0,0,5,0,0,0.3265983068002387,-0.6103325197416455,Weekend,1,0,0,0,0,0,0,0,0,0,6.0,0,1.791759469228055,0,1,0,0,0,0,0,0,1,0
57,2014-06-01,103665.0,1.0,0,6,1,14,0.31920083538819627,-2.4315141802887563,Weekend,1,0,0,0,0,0,0,0,0,0,3.0,0,1.0986122886681098,0,1,0,0,0,0,0,0,0,1
58,2014-06-02,103665.0,3.0,0,0,2,13,0.3118033639761528,0.7375222240791123,Work,1,0,0,0,0,0,0,0,0,0,1.0,0,0.0,1,0,0,1,0,0,0,0,0,0
59,2014-06-03,103665.0,1.0,0,1,3,12,0.32996079380571236,0.7871088534504445,Work,1,0,0,0,0,0,0,0,0,0,3.0,0,1.0986122886681098,1,0,0,0,1,0,0,0,0,0
60,2014-06-04,103665.0,2.0,0,2,4,11,0.32525331199804847,0.7645694764634753,Work,1,0,0,0,0,0,0,0,0,0,1.0,0,0.0,1,0,0,0,0,1,0,0,0,0
61,2014-06-05,103665.0,4.0,0,3,5,10,0.3185283379871011,0.30251224823060685,Work,1,0,0,0,0,0,0,0,0,0,2.0,0,0.6931471805599453,1,0,0,0,0,0,1,0,0,0
62,2014-06-06,103665.0,2.0,0,4,6,9,0.32861579900352217,0.6789198439129924,Work,1,0,0,0,0,0,0,0,0,0,4.0,0,1.3862943611198906,1,0,0,0,0,0,0,1,0,0
63,2014-06-07,103665.0,10.0,0,5,7,8,0.368293145668114,-0.5990628312481608,Weekend,1,0,0,0,0,0,0,0,0,0,2.0,0,0.6931471805599453,0,1,0,0,0,0,0,0,1,0
64,2014-06-08,103665.0,3.0,0,6,8,7,0.4079704923327058,-2.6118291961845097,Weekend,1,0,0,0,0,0,0,0,0,0,10.0,0,2.302585092994046,0,1,0,0,0,0,0,0,0,1
65,2014-06-09,103665.0,6.0,0,0,9,6,0.44764783899729765,0.4400024478511189,Work,1,0,0,0,0,0,0,0,0,0,3.0,0,1.0986122886681098,1,0,0,1,0,0,0,0,0,0
66,2014-06-11,103665.0,4.0,0,2,11,4,0.44428535199182395,0.633841089939054,Work,1,0,0,0,0,0,0,0,0,0,6.0,0,1.791759469228055,1,0,0,0,0,1,0,0,0,0
67,2014-06-12,103665.0,3.0,0,3,12,3,0.5895447906282947,0.3227976875188791,Holiday,1,0,0,0,0,0,0,0,0,0,4.0,0,1.3862943611198906,0,0,1,0,0,0,1,0,0,0
68,2014-06-13,103665.0,7.0,0,4,13,2,0.6090472152600426,0.7375222240791123,Work,1,0,0,0,0,0,0,0,0,0,3.0,0,1.0986122886681098,1,0,0,0,0,0,0,1,0,0
69,2014-06-14,103665.0,7.0,0,5,14,1,0.6097197126611377,-0.3240824320071367,Weekend,1,0,0,0,0,0,0,0,0,0,7.0,0,1.9459101490553132,0,1,0,0,0,0,0,0,1,0
70,2014-06-15,103665.0,3.0,0,6,0,0,0.6103922100622328,-2.5442110652236023,Holiday,1,0,0,0,0,0,0,0,0,0,7.0,0,1.9459101490553132,0,0,1,0,0,0,0,0,0,1
71,2014-06-16,103665.0,3.0,0,0,1,14,0.611064707463327,0.47381151333157273,Work,1,0,0,0,0,0,0,0,0,0,3.0,0,1.0986122886681098,1,0,0,1,0,0,0,0,0,0
72,2014-06-17,103665.0,3.0,0,1,2,13,0.5727323556009254,0.3520988776019391,Work,1,0,0,0,0,0,0,0,0,0,3.0,0,1.0986122886681098,1,0,0,0,1,0,0,0,0,0
73,2014-06-18,103665.0,3.0,0,2,3,12,0.5518849361669872,0.467049700235482,Work,1,0,0,0,0,0,0,0,0,0,3.0,0,1.0986122886681098,1,0,0,0,0,1,0,0,0,0
74,2014-06-19,103665.0,5.0,0,3,4,11,0.5814748218151571,0.2754649958462438,Work,1,0,0,0,0,0,0,0,0,0,3.0,0,1.0986122886681098,1,0,0,0,0,0,1,0,0,0
75,2014-06-20,103665.0,10.0,0,4,5,10,0.6399820957104027,0.6518725915286293,Holiday,1,0,0,0,0,0,0,0,0,0,5.0,0,1.6094379124341003,0,0,1,0,0,0,0,1,0,0
76,2014-06-21,103665.0,5.0,0,5,6,9,0.614875526069532,-0.7252833423751884,Weekend,1,0,0,0,0,0,0,0,0,0,10.0,0,2.302585092994046,0,1,0,0,0,0,0,0,1,0
77,2014-06-23,103665.0,4.0,0,0,8,7,0.5646623867877878,0.523398142702905,Work,1,0,0,0,0,0,0,0,0,0,5.0,0,1.6094379124341003,1,0,0,1,0,0,0,0,0,0
78,2014-06-24,103665.0,2.0,0,1,9,6,0.5518849361669872,0.3227976875188791,Work,1,0,0,0,0,0,0,0,0,0,4.0,0,1.3862943611198906,1,0,0,0,1,0,0,0,0,0
79,2014-06-25,103665.0,5.0,0,2,10,5,0.5787848322107785,0.3520988776019391,Holiday,1,0,0,0,0,0,0,0,0,0,2.0,0,0.6931471805599453,0,0,1,0,0,1,0,0,0,0
80,2014-06-26,103665.0,3.0,0,3,11,4,0.5417974751505652,0.2619413696540623,Work,1,0,0,0,0,0,0,0,0,0,5.0,0,1.6094379124341003,1,0,0,0,0,0,1,0,0,0
81,2014-06-27,103665.0,2.0,0,4,12,3,0.5397799829472809,0.6203174637468725,Work,1,0,0,0,0,0,0,0,0,0,3.0,0,1.0986122886681098,1,0,0,0,0,0,0,1,0,0
82,2014-06-28,103665.0,3.0,0,5,13,2,0.5310375167330491,-0.6554112737155838,Holiday,1,0,0,0,0,0,0,0,0,0,2.0,0,0.6931471805599453,0,0,1,0,0,0,0,0,1,0
83,2014-06-29,103665.0,4.0,0,6,14,1,0.5222950505188174,-2.580274068402753,Holiday,1,0,0,0,0,0,0,0,0,0,3.0,0,1.0986122886681098,0,0,1,0,0,0,0,0,0,1
84,2014-06-30,103665.0,7.0,0,0,0,0,0.5135525843045847,0.3768921922876052,Holiday,1,0,0,0,0,0,0,0,0,0,4.0,0,1.3862943611198906,0,0,1,1,0,0,0,0,0,0
85,2014-07-01,103665.0,2.0,0,1,1,14,0.5128800869034905,0.3566067529993329,Holiday,1,0,0,0,0,0,0,0,0,0,7.0,0,1.9459101490553132,0,0,1,0,1,0,0,0,0,0
86,2014-07-02,103665.0,3.0,0,2,2,13,0.4537003156071508,0.8366954828217767,Work,1,0,0,0,0,0,0,0,0,0,2.0,0,0.6931471805599453,1,0,0,0,0,1,0,0,0,0
87,2014-07-03,103665.0,7.0,0,3,3,12,0.42545542476117026,0.4152091331654528,Work,1,0,0,0,0,0,0,0,0,0,3.0,0,1.0986122886681098,1,0,0,0,0,0,1,0,0,0
88,2014-07-05,103665.0,1.0,0,5,5,10,0.4062892488299685,-1.043088557891454,Holiday,1,0,0,0,0,0,0,0,0,0,7.0,0,1.9459101490553132,0,0,1,0,0,0,0,0,1,0
89,2014-07-06,103665.0,3.0,0,6,6,9,0.3967061608643681,-2.460815370371816,Weekend,1,0,0,0,0,0,0,0,0,0,1.0,0,0.0,0,1,0,0,0,0,0,0,0,1
90,2014-07-07,103665.0,2.0,0,0,7,8,0.3871230728987677,0.4512721363446035,Work,1,0,0,0,0,0,0,0,0,0,3.0,0,1.0986122886681098,1,0,0,1,0,0,0,0,0,0
91,2014-07-08,103665.0,1.0,0,1,8,7,0.37838060668453594,0.4986048280172388,Holiday,1,0,0,0,0,0,0,0,0,0,2.0,0,0.6931471805599453,0,0,1,0,1,0,0,0,0,0
92,2014-07-09,103665.0,1.0,0,2,9,6,0.3023884003608269,0.5188902673055111,Holiday,1,0,0,0,0,0,0,0,0,0,1.0,0,0.0,0,0,1,0,0,1,0,0,0,0
93,2014-07-10,103665.0,9.0,0,3,10,5,0.34811822363527095,0.16727598630879167,Work,1,0,0,0,0,0,0,0,0,0,1.0,0,0.0,1,0,0,0,0,0,1,0,0,0
94,2014-07-16,103665.0,4.0,0,2,1,15,0.23177617324587502,0.5098745165107235,Work,1,0,0,0,0,0,0,0,0,0,9.0,0,2.1972245773362196,1,0,0,0,0,1,0,0,0,0
95,2014-07-18,103665.0,8.0,0,4,3,13,0.3629131664593559,0.42873275935763433,Work,1,0,0,0,0,0,0,0,0,0,4.0,0,1.3862943611198906,1,0,0,0,0,0,0,1,0,0
96,2014-07-19,103665.0,1.0,0,5,4,12,0.3967622023144583,-0.8064250995282775,Weekend,1,0,0,0,0,0,0,0,0,0,8.0,0,2.0794415416798357,0,1,0,0,0,0,0,0,1,0
97,2014-07-21,103665.0,1.0,0,0,6,10,0.46446027402466694,0.48958907722245115,Work,1,0,0,0,0,0,0,0,0,0,1.0,0,0.0,1,0,0,1,0,0,0,0,0,0
98,2014-07-22,103665.0,1.0,0,1,7,9,0.41402296894255897,0.38365400538369593,Work,1,0,0,0,0,0,0,0,0,0,1.0,0,0.0,1,0,0,0,1,0,0,0,0,0
99,2014-07-23,103665.0,5.0,0,2,8,8,0.36156817165716665,0.6248253391442663,Work,1,0,0,0,0,0,0,0,0,0,1.0,0,0.0,1,0,0,0,0,1,0,0,0,0
100,2014-07-24,103665.0,5.0,0,3,9,7,0.2909559445422157,0.19883111409054854,Work,1,0,0,0,0,0,0,0,0,0,5.0,0,1.6094379124341003,1,0,0,0,0,0,1,0,0,0
101,2014-04-01,108696.0,1.0,0,1,1,14,0.0844992424061199,0.577492647471631,Work,0,1,0,0,0,0,0,0,0,0,5.0,0,1.6094379124341003,1,0,0,0,1,0,0,0,0,0
102,2014-04-02,108696.0,1.0,0,2,2,13,0.07844676579626672,0.6946974078038708,Work,0,1,0,0,0,0,0,0,0,0,1.0,0,0.0,1,0,0,0,0,1,0,0,0,0
103,2014-04-03,108696.0,5.0,0,3,3,12,0.12484908647180684,0.44676426094720967,Work,0,1,0,0,0,0,0,0,0,0,1.0,0,0.0,1,0,0,0,0,0,1,0,0,0
104,2014-04-04,108696.0,4.0,0,4,4,11,0.18335636036705144,0.6406029030351448,Work,0,1,0,0,0,0,0,0,0,0,5.0,0,1.6094379124341003,1,0,0,0,0,0,0,1,0,0
105,2014-04-05,108696.0,6.0,0,5,5,10,0.16699225694041347,-0.44579506773677036,Weekend,0,1,0,0,0,0,0,0,0,0,4.0,0,1.3862943611198906,0,1,0,0,0,0,0,0,1,0
106,2014-04-07,108696.0,3.0,0,0,7,8,0.1342640500871337,0.7780931026556568,Work,0,1,0,0,0,0,0,0,0,0,6.0,0,1.791759469228055,1,0,0,1,0,0,0,0,0,0
107,2014-04-09,108696.0,1.0,0,2,9,6,0.3440832392287022,0.7871088534504445,Work,0,1,0,0,0,0,0,0,0,0,3.0,0,1.0986122886681098,1,0,0,0,0,1,0,0,0,0
108,2014-04-12,108696.0,2.0,0,5,12,3,0.36111984005643716,-0.5652537657677071,Weekend,0,1,0,0,0,0,0,0,0,0,1.0,0,0.0,0,1,0,0,0,0,0,0,1,0
109,2014-04-14,108696.0,1.0,0,0,14,1,0.37770810928344084,0.6518725915286293,Work,0,1,0,0,0,0,0,0,0,0,2.0,0,0.6931471805599453,1,0,0,1,0,0,0,0,0,0
110,2014-04-15,108696.0,2.0,0,1,0,0,0.35417070024512415,0.4580339494406943,Work,0,1,0,0,0,0,0,0,0,0,1.0,0,0.0,1,0,0,0,1,0,0,0,0,0
111,2014-04-16,108696.0,1.0,0,2,1,14,0.3548431976462183,0.7307604109830216,Work,0,1,0,0,0,0,0,0,0,0,2.0,0,0.6931471805599453,1,0,0,0,0,1,0,0,0,0
112,2014-04-17,108696.0,1.0,0,3,2,13,0.3965380365140945,0.4354945724537251,Work,0,1,0,0,0,0,0,0,0,0,1.0,0,0.0,1,0,0,0,0,0,1,0,0,0
113,2014-04-18,108696.0,1.0,0,4,3,12,0.39687428521464163,-2.4427838687822407,Holiday,0,1,0,0,0,0,0,0,0,0,1.0,0,0.0,0,0,1,0,0,0,0,1,0,0
114,2014-04-20,108696.0,1.0,0,6,5,10,0.3975467826157367,-2.6524000747610543,Weekend,0,1,0,0,0,0,0,0,0,0,1.0,0,0.0,0,1,0,0,0,0,0,0,0,1
115,2014-04-21,108696.0,1.0,0,0,6,9,0.39788303131628383,0.41746307086414974,Work,0,1,0,0,0,0,0,0,0,0,1.0,0,0.0,1,0,0,1,0,0,0,0,0,0
116,2014-04-22,108696.0,3.0,0,1,7,8,0.21899872262507447,0.21911655337882083,Work,0,1,0,0,0,0,0,0,0,0,1.0,0,0.0,1,0,0,0,1,0,0,0,0,0
117,2014-04-23,108696.0,1.0,0,2,8,7,0.20420377980098955,0.7758391649569599,Work,0,1,0,0,0,0,0,0,0,0,3.0,0,1.0986122886681098,1,0,0,0,0,1,0,0,0,0
118,2014-04-25,108696.0,1.0,0,4,10,5,0.16250894093311333,0.606793837554691,Work,0,1,0,0,0,0,0,0,0,0,1.0,0,0.0,1,0,0,0,0,0,0,1,0,0
119,2014-04-26,108696.0,3.0,0,5,11,4,0.16878558334333027,-0.8041711618295806,Weekend,0,1,0,0,0,0,0,0,0,0,1.0,0,0.0,0,1,0,0,0,0,0,0,1,0
120,2014-04-28,108696.0,1.0,0,0,13,2,0.18133886816376704,0.43098669705633125,Work,0,1,0,0,0,0,0,0,0,0,3.0,0,1.0986122886681098,1,0,0,1,0,0,0,0,0,0
121,2014-04-29,108696.0,6.0,0,1,14,1,0.21025625641084272,0.37238431689021134,Work,0,1,0,0,0,0,0,0,0,0,1.0,0,0.0,1,0,0,0,1,0,0,0,0,0
122,2014-05-02,108696.0,2.0,0,4,2,13,0.1113991384499112,0.4828272641263604,Work,0,1,0,0,0,0,0,0,0,0,6.0,0,1.791759469228055,1,0,0,0,0,0,0,1,0,0
123,2014-05-03,108696.0,2.0,0,5,3,12,0.10355333543713738,-0.596808893549464,Weekend,0,1,0,0,0,0,0,0,0,0,2.0,0,0.6931471805599453,0,1,0,0,0,0,0,0,1,0
124,2014-05-05,108696.0,2.0,0,0,5,10,0.08786172941159358,-0.2947812419240768,Work,0,1,0,0,0,0,0,0,0,0,2.0,0,0.6931471805599453,1,0,0,1,0,0,0,0,0,0
125,2014-05-07,108696.0,1.0,0,2,7,8,0.1766313863561041,0.7239985978869308,Work,0,1,0,0,0,0,0,0,0,0,2.0,0,0.6931471805599453,1,0,0,0,0,1,0,0,0,0
126,2014-05-08,108696.0,2.0,0,3,8,7,0.14031652669698594,0.3070201236280007,Work,0,1,0,0,0,0,0,0,0,0,1.0,0,0.0,1,0,0,0,0,0,1,0,0,0
127,2014-05-09,108696.0,3.0,0,4,9,6,0.1268665786750903,0.9178372399748659,Work,0,1,0,0,0,0,0,0,0,0,2.0,0,0.6931471805599453,1,0,0,0,0,0,0,1,0,0
128,2014-05-10,108696.0,2.0,0,5,10,5,0.1396440292958918,-0.3398599958980152,Holiday,0,1,0,0,0,0,0,0,0,0,3.0,0,1.0986122886681098,0,0,1,0,0,0,0,0,1,0
129,2014-05-12,108696.0,1.0,0,0,12,3,0.16519893053749285,0.3994315692745744,Work,0,1,0,0,0,0,0,0,0,0,2.0,0,0.6931471805599453,1,0,0,1,0,0,0,0,0,0
130,2014-05-13,108696.0,3.0,0,1,13,2,0.2405186394601077,0.6383489653364478,Work,0,1,0,0,0,0,0,0,0,0,1.0,0,0.0,1,0,0,0,1,0,0,0,0,0
131,2014-05-16,108696.0,3.0,0,4,1,15,0.2606935614929507,0.46479576253678506,Work,0,1,0,0,0,0,0,0,0,0,3.0,0,1.0986122886681098,1,0,0,0,0,0,0,1,0,0
132,2014-05-17,108696.0,2.0,0,5,2,14,0.2750401727163062,-0.6756967130038561,Weekend,0,1,0,0,0,0,0,0,0,0,3.0,0,1.0986122886681098,0,1,0,0,0,0,0,0,1,0
133,2014-05-19,108696.0,1.0,0,0,4,12,0.3037333951630162,0.6834277193103863,Work,0,1,0,0,0,0,0,0,0,0,2.0,0,0.6931471805599453,1,0,0,1,0,0,0,0,0,0
134,2014-05-22,108696.0,2.0,0,3,7,9,0.37636311448125154,0.24841774346188078,Work,0,1,0,0,0,0,0,0,0,0,1.0,0,0.0,1,0,0,0,0,0,1,0,0,0
